,Company,Menu
358,Pizza Hut,CHOCOLATE BLAST
361,Pizza Hut,STRAWBERRY MILKSHAKE
362,Pizza Hut,CHOCOLATE MILKSHAKE
363,PHD,BEEF BBQ
364,PHD,CHEESY FRANK
365,PHD,MEATY
366,PHD,CREAMY CHICKEN
367,PHD,TASTY TUNA
368,PHD,CHEESY BEEF SPAGHETTI
369,PHD,MAC 'N CHEESE
370,PHD,CHICKEN FETTUCCINE ALLA ITALIA
372,PHD,CHICKEN DELIGHT
373,PHD,CHEESY DOUGH BALL
374,PHD,BEEF SAUSAGE BITES
375,PHD,CHICKEN STICKS
376,PHD,CHOCOCHIZ TOAST
377,PHD,POTATO WEDGES
378,PHD,SPLITZA
379,PHD,FRANKFURTER BBQ
380,PHD,CHEESEBURGER
381,PHD,MEAT MONSTA
382,PHD,SUPER SUPREME
383,PHD,MEAT LOVERS
384,PHD,PEPPERONI
385,PHD,AMERICAN FAVOURITE
386,PHD,TUNA MELT
387,PHD,CHEESE LOVERS
388,PHD,CHEESE OVERLOAD
389,PHD,VEGGIE GARDEN
390,PHD,CHOOSE YOUR CRUST!
391,PHD,BEEF ARABIATA
392,PHD,CLASSIC SALMON MENTAIKO
393,PHD,CREAMY TRUFFLE
394,PHD,CUMI CABE IJO
395,PHD,ORIENTAL CHICKEN SPAGHETTI
396,PHD,TUNA AGLIO OLIO
397,PHD,BLACK PEPPER CHICKEN FETTUCCINE
399,PHD,CREAMY BEEF / CHICKEN CLASSIC FETTUCCINE
400,PHD,BEEF SPAGHETTI
401,PHD,BEEF LASAGNA
402,PHD,CHEESE-BEEF FUSILLI
403,PHD,ORIENTAL CHICKEN
405,PHD,BLACK PEPPER CHICKEN
406,PHD,CHICKEN BITES
407,PHD,WINGSTREET
408,PHD,NEW ORLEANS CHICKEN WINGS
409,PHD,BAKED CHICKEN CHUNKS
410,PHD,SAUSAGE PASTRY ROLL
411,PHD,NACHO CHEESE
412,PHD,PUUF PASTRY MUSHROOM CREAM SOUP
413,PHD,GARLIC BREAD
414,PHD,CHICKEN ROYALE
415,PHD,DELUXE BEEF BRUSCHETTA
416,PHD,DELUXE CHICKEN BRUSCHETTA
417,PHD,GARLICHEESE BREAD
418,PHD,CHEESE ROLLS
419,PHD,CHOCO PUFF
420,PHD,POTATO WEDGES
421,PHD,CHEESE MARTABAK PIZZA
422,PHD,FRESH SALAD
423,PHD,TROPICAL PUNCH
424,PHD,LYCHEE BREEZE
425,PHD,ORANGE LYCHEE SPARKLE
426,PHD,BLUE OCEAN
427,PHD,MIXBERRY
428,PHD,WINTER PUNCH
431,PHD,LYCHEE SPRING
432,PHD,WATERMELON
433,PHD,MELON
434,PHD,AVOCADO
436,PHD,STRAWBERRY WATERMELON
437,PHD,STRAWBERRY ORANGE
438,PHD,MELON PEACH
439,PHD,ITALIAN SUNRISE SODA
440,PHD,ITALIAN RED SODA
441,PHD,ITALIAN GREEN SODA
442,PHD,LIME SQUASH
444,PHD,TOFFEE COFFEE
446,PHD,CHOCOLATE BLAST
449,PHD,STRAWBERRY MILKSHAKE
450,PHD,CHOCOLATE MILKSHAKE
451,Domino's Pizza,CRISPY TORTILLA CHIPS
452,Domino's Pizza,TASTY STUFFED POCKET SPICY CHICKEN SAUSAGE WITH CHEESE
453,Domino's Pizza,TASTY STUFFED POCKET SPICY CHICKEN SAUSAGE
454,Domino's Pizza,TASTY STUFFED POCKET PEPPERY BEEF SAUSAGE WITH CHEESE
455,Domino's Pizza,TASTY STUFFED POCKET PEPPERY BEEF SAUSAGE
456,Domino's Pizza,CHOCOLATE LAVA
457,Domino's Pizza,CHOCO BREAD STICKS
460,Domino's Pizza,SPICY TUNA MAC'N CHEESE EXTRA CHEESE
461,Domino's Pizza,SPICY TUNA MAC'N CHEESE
462,Domino's Pizza,CHICKEN CREAMY SPAGHETTI
463,Domino's Pizza,CHICKEN CREAMY SPAGHETTI WITH CHEESE
464,Domino's Pizza,BEEF PEPPER SPAGHETTI
465,Domino's Pizza,MEATBALL MARINARA SPAGHETTI
466,Domino's Pizza,1 PIECE KOREAN SWEET HEAT K-PASTA
467,Domino's Pizza,MAC'N TRUFLLE ALFREDO BEEF
468,Domino's Pizza,MAC'N TRUFLLE ALFREDO BEEF EXTRA CHEESE
469,Domino's Pizza,BEEF PEPPER SPAGHETTI WITH CHEESE
470,Domino's Pizza,AMERICAN MAC'N CHEESE
471,Domino's Pizza,AMERICAN MAC'N CHEESE EXTRA CHEESE
472,Domino's Pizza,10 PIECES WINGCHUJANG CHIKIN
