,Company,Jenis,Menu,Calories,Carbo,Protein,Fat
470,Domino's Pizza,Pasta,AMERICAN MAC'N CHEESE,,,,
471,Domino's Pizza,Pasta,AMERICAN MAC'N CHEESE EXTRA CHEESE,,,,
472,Domino's Pizza,Fried chicken,WINGCHUJANG CHIKIN,,,,
474,Domino's Pizza,Fried chicken,HABANERO BONELESS WINGS ,,,,
476,Domino's Pizza,Snack,CHICK AND CHEESE RING ,,,,
478,Domino's Pizza,Snack,CRISPY CHICKEN STRIPS ,,,,
479,Domino's Pizza,Fried chicken,CHICKEN WINGS ,,,,
481,Domino's Pizza,Snack,CRISPY CHICKEN STRIPS ,,,,
482,Domino's Pizza,Bread stick domino,CHEESE CALZONE STICKS EXTRA CHEESE,,,,
483,Domino's Pizza,Bread stick domino,CHEESY CALZONE STICKS,,,,
484,Domino's Pizza,Pastry,SEOUL CHEESE SAUSAGE ROLL,,,,
485,Domino's Pizza,Bread stick domino,CHEESY BREAD (8 PCS),,,,
486,Domino's Pizza,Pastry,GARLIC CHEESY ROLLS (2 PCS),,,,
487,Domino's Pizza,Bread stick domino,BREAD STICKS (8 PCS),,,,
493,Domino's Pizza,Pizza,AMERICAN PIE SUPER MEATY BOLOGNESE,,,,
494,Domino's Pizza,Pizza,AMERICAN PIE SUPREME CHEESY,,,,
495,Domino's Pizza,Pizza,GRILLED BEEF SUPREME,,,,
496,Domino's Pizza,Pizza,CHEESY MEATBALL BLAST,,,,
497,Domino's Pizza,Pizza,ULTIMATE CHEESE MELT,,,,
498,Domino's Pizza,Pizza,NEWYORKER ALFREDO BEEF MUSHROOM TRUFFLE,,,,
499,Domino's Pizza,Pizza,NEWYORKER ALFREDO CHICKEN MUSHROOM TRUFFLE,,,,
500,Domino's Pizza,Pizza,AMERICAN FRANKIE SAUSAGE,,,,
501,Domino's Pizza,Pizza,ULTIMATE MEAT OVERLOAD,,,,
502,Domino's Pizza,Pizza,GOCHUJANG BEEF BLAST,,,,
503,Domino's Pizza,Pizza,AMERICAN CLASSIC CHEESEBURGER,,,,
504,Domino's Pizza,Pizza,AMERICAN ALL STAR,,,,
505,Domino's Pizza,Pizza,CHICKEN LOVERS,,,,
506,Domino's Pizza,Pizza,CHEESE MANIA,,,,
507,Domino's Pizza,Pizza,EXTRAVAGANZZA,,,,
508,Domino's Pizza,Pizza,MEATZZA,,,,
509,Domino's Pizza,Pizza,VEGGIE MANIA,,,,
510,Domino's Pizza,Pizza,CHICKEN DELIGHT,,,,
511,Domino's Pizza,Pizza,DOUBLE BEEF BURGER,,,,
512,Domino's Pizza,Pizza,BEEF PEPPERONI FEAST,,,,
513,Domino's Pizza,Pizza,TUNA DELIGHT,,,,
514,Domino's Pizza,Pizza,MEAT & MEAT,,,,
515,Domino's Pizza,Pizza,MARGHERITA,,,,
516,Domino's Pizza,Pizza,BEEF DELIGHT,,,,
517,Domino's Pizza,Pizza,CHEESY SAUSAGE,,,,
518,Domino's Pizza,Pizza,CHICKEN PEPPERONI FEAST,,,,
519,Domino's Pizza,Pizza,BEEF RASHER,,,,
520,Domino's Pizza,Pizza,K-LOVERS PIZZA,,,,
521,Domino's Pizza,Pizza,CHEESY BEEF,,,,
522,Domino's Pizza,Pizza,CREAMY CHICKEN,,,,
523,Domino's Pizza,Pizza,CHICKEN BBQ,,,,
585,Burger King,Burger,BBQ Beef Rasher Burger,,,,
586,Burger King,Burger,Cheeseburger Supreme,,,,
587,Burger King,Burger,Cheese Whopper®,,,,
588,Burger King,Burger,Spicy Cheese Whopper® JR ,,,,
589,Burger King,Burger,Cheese Whopper® JR,,,,
590,Burger King,Burger,Mozzarella Cheeseburger,,,,
591,Burger King,Burger,Double Cheeseburger,,,,
